;8.jpg;9.jpg;14.jpg;29.jpg;15.jpg;17.jpg;16.jpg;12.jpg;40.jpeg;13.jpg;39.jpg;11.jpg;10.jpg;38.jpg;21.jpg;35.jpg;34.jpg;20.jpg;36.jpg;22.jpg;23.jpg;37.jpg;33.jpg;27.jpg;26.jpg;18.jpg;24.jpg;30.jpg;19.jpeg;31.jpg;25.jpg;4.jpg;28.jpeg;5.jpg;7.jpg;32.jpeg;6.jpg;2.jpg;3.jpg;1.jpg
8.jpg;0;58.67;67.29;61.13;65.05;71.65;75.46;72.66;64.04;69.3;80.05;64.71;55.31;60.34;74.14;70.09;65.61;65.38;79.15;59.81;62.58;64.26;90.69;56.87;52.17;76.58;59.79;71.99;68.74;81.28;60.23;43.13;56.87;39.18;25.86;89.9;40.06;83.09;49.71;86.01
9.jpg;58.67;0;68.63;66.95;68.18;76.13;79.49;60.57;71.43;71.99;84.08;20.82;9.63;58.55;87.57;78.15;57.1;74.79;67.51;64.29;78.48;68.29;78.15;71.65;65.16;81.06;70.53;65.27;73.67;71.43;68.74;65.07;71.65;64.26;60.34;87.66;66.03;69.17;68.97;72.08
14.jpg;67.29;68.63;0;43.33;4.48;45.34;48.7;16.79;43.1;15.9;70.53;64.38;66.61;40.75;74.65;60.34;57.66;60.12;53.29;47.78;66.95;38.4;64.82;47.58;52.28;45.79;58.11;49.04;69.3;60.34;55.87;53.54;47.58;56.31;57.99;76.58;55.67;78.28;57.88;81.19
29.jpg;61.13;66.95;43.33;0;41.09;43.22;47.92;50.49;49.93;43.55;67.29;57.77;64.04;44;56.4;48.81;49.71;43.22;52.96;29.53;59;47.92;65.83;13.66;44.33;48.14;50.6;46.91;52.84;56.87;47.92;54.1;4.7;47.02;51.61;72.21;53.09;60.48;58.44;63.39
15.jpg;65.05;68.18;4.48;41.09;0;43.55;46.91;19.93;40.86;17.69;67.85;62.14;64.38;38.51;72.41;58.11;55.42;57.88;48.81;45.54;64.71;36.16;62.14;45.34;50.04;44;53.63;46.8;66.17;59.9;53.63;52.64;45.34;54.08;55.98;73.89;53.43;76.04;56.99;78.95
17.jpg;71.65;76.13;45.34;43.22;43.55;0;13.66;55.64;60.46;52.28;73.33;66.95;73.22;54.52;74.54;63.82;65.16;60.01;69.3;47.67;69.53;58.44;85.31;47.47;54.86;22.39;61.13;61.91;69.64;67.4;58.44;62.38;47.47;54.41;60.57;80.5;58.24;78.62;66.73;81.53
16.jpg;75.46;79.49;48.7;47.92;46.91;13.66;0;59;63.82;55.64;76.69;71.65;76.58;57.88;79.24;68.52;68.52;64.71;72.66;52.37;74.23;61.8;88.67;52.17;59.56;27.09;65.83;65.27;74.34;70.76;63.14;65.74;52.17;63.59;65.27;83.86;66.08;83.32;70.09;86.23
12.jpg;72.66;60.57;16.79;50.49;19.93;55.64;59;0;48.25;30;72.77;67.51;69.3;35.83;79.62;65.27;62.58;65.49;56.87;50.07;73.22;45.34;66.17;55.19;58.55;60.12;64.38;53.07;65.27;62.14;62.14;55.33;55.19;62.14;63.82;79.27;60.59;80.97;59.67;83.88
40.jpeg;64.04;71.43;43.1;49.93;40.86;60.46;63.82;48.25;0;44.67;63.93;65.61;68.52;19.59;77.72;63.14;59.79;64.49;59.9;50.85;67.29;21.5;66.05;54.64;51.28;62.47;58.67;53.63;69.86;66.05;56.2;46.48;54.64;56.2;58.55;73.33;56.67;78.62;50.83;72.57
13.jpg;69.3;71.99;15.9;43.55;17.69;52.28;55.64;30;44.67;0;70.09;67.29;69.97;49.04;74.88;60.12;56.54;60.34;56.65;48.01;71.65;43.1;69.97;44.67;56.99;52.73;61.46;52.84;68.63;62.81;60.57;61.82;47.81;61.02;64.71;75.91;61.71;78.5;66.17;81.42
39.jpg;80.05;84.08;70.53;67.29;67.85;73.33;76.69;72.77;63.93;70.09;0;87.44;80.72;60.68;92.83;69.53;57.88;76.47;50.38;68.2;85.09;64.15;49.6;71.99;70.42;78.26;74.9;52.4;84.75;43.78;78.03;79.74;71.99;78.03;77.7;20.38;79.18;87.46;84.08;93.06
11.jpg;64.71;20.82;64.38;57.77;62.14;66.95;71.65;67.51;65.61;67.29;87.44;0;17.02;60.12;78.84;69.86;55.98;66.5;62.81;55.78;70.42;56.87;80.16;57.99;55.98;71.88;62.02;59.45;73.89;73.89;59.56;59.25;62.47;48.81;46.24;96.39;53.99;59.76;63.14;62.67
10.jpg;55.31;9.63;66.61;64.04;64.38;73.22;76.58;69.3;68.52;69.97;80.72;17.02;0;64.6;83.32;75.24;52.4;67.4;59.67;60.93;70.64;64.49;76.58;68.74;62.25;78.15;67.62;60.12;78.37;71.2;65.83;61.26;68.74;60.9;56.99;84.53;61.78;60.88;65.16;66.93
38.jpg;60.34;58.55;40.75;44;38.51;54.52;57.88;35.83;19.59;49.04;60.68;60.12;64.6;0;71.79;58.11;55.87;58.55;54.64;44.92;61.35;16.91;62.14;48.7;45.34;59.45;52.73;49.26;54.97;62.14;50.27;53.31;48.7;50.72;53.07;69.41;50.96;72.68;57.66;75.59
