;8.jpg;9.jpg;14.jpg;29.jpg;15.jpg;17.jpg;16.jpg;12.jpg;40.jpeg;13.jpg;39.jpg;11.jpg;10.jpg;38.jpg;21.jpg;35.jpg;34.jpg;20.jpg;36.jpg;22.jpg;23.jpg;37.jpg;33.jpg;27.jpg;26.jpg;18.jpg;24.jpg;30.jpg;19.jpeg;31.jpg;25.jpg;4.jpg;28.jpeg;5.jpg;7.jpg;32.jpeg;6.jpg;2.jpg;3.jpg;1.jpg
8.jpg;0;70.51;63.73;66.35;63.39;64.03;77.21;72.08;67.38;63.66;77.83;67.64;57.24;61.92;71.66;76.07;59.44;72.37;81.44;64.91;69.51;64.79;83.99;54.16;53.85;72.94;62.42;72.37;65.65;81.19;62.52;57.95;59.5;49.31;52.09;77.79;53.01;79.76;78.85;80.12
9.jpg;70.51;0;60.18;68.9;62.2;64.32;75.89;60.17;69.45;61.39;76.63;42.33;34.34;53.38;75.62;80.26;55.28;75.5;69.39;66.83;79.18;60.21;65.76;59.24;59.49;72.82;66.49;66.14;67.64;74.15;69.23;64.24;63.81;68.26;67.72;73.43;63.85;68.17;91.65;68.89
14.jpg;63.73;60.18;0;44.49;17.46;36.19;47.41;29.43;42.04;22.15;59.84;53.8;50.2;34.03;57.21;58.16;42.54;55.49;49.01;46.28;59.69;36.65;55.68;34.98;40.81;44.69;48.88;45.89;54.99;57.81;49.56;49.3;38.66;48.62;56.06;57.91;47.44;61.97;74.95;62.54
29.jpg;66.35;68.9;44.49;0;43.62;42.41;52.81;55.56;50.6;44.35;67.21;57.51;56.08;46.28;53.27;60.45;45.58;51.38;60.42;45.17;60.62;47.79;59.62;27.12;43.5;52.29;51.8;52.21;50.66;60.64;51.55;56.14;25.02;52.71;56.65;62.4;53.51;58.35;82.56;58.89
15.jpg;63.39;62.2;17.46;43.62;0;36.5;47.16;30.98;38.27;22.5;58.31;55.33;51.36;34.74;57.44;59.68;42.79;54.77;47.33;47.04;59.72;35.26;53.81;35.04;41.35;44.39;46.88;47.17;53.99;55.4;49.93;49.54;39.82;51.21;55.09;55.35;47.51;63.41;77.66;63.58
17.jpg;64.03;64.32;36.19;42.41;36.5;0;31.32;49.16;50.22;36.78;61.01;53.35;51.17;42.11;55.34;58.91;45.75;53.89;60.43;44.11;59.38;47.19;65.49;32.45;41.52;28.6;49.38;50.87;53.28;59.26;49.45;52.17;37.56;46.95;55.18;59.59;49.28;60.76;79.07;60.59
16.jpg;77.21;75.89;47.41;52.81;47.16;31.32;0;62.4;60.79;47.73;73.71;68.28;64.8;53.7;66.99;73.6;57.83;63.2;70.65;58.42;71.74;53.55;77.58;45.37;54.82;38.55;62.72;63.79;63.51;68.66;63.23;64.42;49.9;63.63;66.34;72.74;62.33;74.85;89.35;74.56
12.jpg;72.08;60.17;29.43;55.56;30.98;49.16;62.4;0;46.35;35.35;64.62;61.61;56.88;36.79;67.17;68;52.11;65.41;58.3;54.93;69.95;44.62;61.52;46.17;50.14;57.45;58.72;52.95;60.88;61.81;59.17;50.79;50.43;60.6;65.41;64.61;55.66;70.55;79.8;71.09
40.jpeg;67.38;69.45;42.04;50.6;38.27;50.22;60.79;46.35;0;40.48;63.11;60.62;56.94;31.2;62.72;66.72;48.18;59.64;57.36;52.62;64.63;33.55;61.15;44.37;46.01;58.06;55.52;53.88;57.82;61.21;55.03;50.98;49.72;57.34;59.62;60.16;53.71;67.31;77.44;64.13
13.jpg;63.66;61.39;22.15;44.35;22.5;36.78;47.73;35.35;40.48;0;57.9;54.13;50.12;39.19;56.04;57.59;42.29;54.4;53.5;45.63;61.66;39.69;57.53;32.69;42.99;47.13;50.16;46.89;54.07;57.78;50.23;51.95;38.21;52.46;58.39;56.54;49.79;61.13;81.1;60.79
