;8.jpg;9.jpg;14.jpg;29.jpg;15.jpg;17.jpg;16.jpg;12.jpg;40.jpeg;13.jpg;39.jpg;11.jpg;10.jpg;38.jpg;21.jpg;35.jpg;34.jpg;20.jpg;36.jpg;22.jpg;23.jpg;37.jpg;33.jpg;27.jpg;26.jpg;18.jpg;24.jpg;30.jpg;19.jpeg;31.jpg;25.jpg;4.jpg;28.jpeg;5.jpg;7.jpg;32.jpeg;6.jpg;2.jpg;3.jpg;1.jpg
8.jpg;0;59.23;65.6;56.1;58;70.76;69.03;64.97;58.44;66.27;73.78;62.6;61.04;63.36;70.43;63.11;64.96;58.78;66.06;53.72;60.47;62.79;84.65;63.81;56;68.06;60.29;65.39;65.13;75.47;63.15;53.04;60.52;43.34;43.52;90.31;48.27;85.84;51.24;80.93
9.jpg;59.23;0;71.3;58.44;62.54;76.65;72.28;62.86;65.13;70.99;79.72;34.07;30.92;64.4;81.47;65.84;58.83;64.06;63.49;54.66;71.2;62.89;79.32;70.06;63.92;73.73;62.44;62.2;72.56;64.74;65.84;67.44;69.57;60.89;57.35;88.16;62.59;78.64;55.91;78.99
14.jpg;65.6;71.3;0;44.82;23.02;52.84;53.67;35.6;47.75;30.03;66.35;66.75;70.17;50.5;76.58;57.18;62.88;60;54.4;47.32;66.76;49.9;70.27;56.72;58.29;45.5;59.29;51.01;72.81;62.3;56.71;60.77;54.2;57.87;60.64;82.38;58.17;82.81;51.1;84.69
29.jpg;56.1;58.44;44.82;0;38.38;46.95;47.77;47.05;47.68;47.59;61.23;56.1;62.34;49.46;57.39;44.92;51.17;40.56;46.92;26.71;56.61;47.71;70.6;27.54;45.43;43.56;47.6;46.82;56.15;57.19;46.39;52.89;24.39;44.92;48.71;74.82;50.14;63.78;41.51;65.07
15.jpg;58;62.54;23.02;38.38;0;48.56;46.91;27.47;40.84;31.77;63.99;58.53;62.09;46.33;68.49;52.4;56.45;51.5;49.62;38.76;59.21;43.78;65.55;50.93;51.09;43.51;52.2;46.34;63.26;57.38;49;52.85;49;50.99;51.99;79.05;51.17;75.93;42.36;76.86
17.jpg;70.76;76.65;52.84;46.95;48.56;0;25.53;57.99;62.52;60.02;72.46;71.62;77.66;62.91;76.28;61.09;70.61;59.75;64.73;48.31;70.32;66.58;89.41;56.93;62.34;34.48;64.25;63.12;75.93;73.48;60.57;69.12;57.52;58.11;65.35;84.13;63.06;84.69;59.57;84.8
16.jpg;69.03;72.28;53.67;47.77;46.91;25.53;0;56.31;59.51;60.45;70.87;67.67;73.64;63.73;77.99;61.73;68.79;59.1;64.33;47.81;68.44;62.44;87.66;59.07;59.97;35.65;62.16;63.35;73.56;69.96;58.53;67.47;59.56;60.56;61.84;81.37;63.45;83.77;55.56;84.57
12.jpg;64.97;62.86;35.6;47.05;27.47;57.99;56.31;0;52.46;42.23;68.44;66.75;70.44;48.08;75.77;57.61;62.56;57.57;54.83;46.14;69.17;53.02;69.61;58.32;57.86;54.33;58.63;51.6;63.1;62.54;58.13;54.08;56.1;59.46;57.99;84.6;58.23;81.9;48.23;81.84
40.jpeg;58.44;65.13;47.75;47.68;40.84;62.52;59.51;52.46;0;55.45;58.07;61.61;66.04;32.89;75.39;56.54;63.24;59.09;57.25;45.85;62.63;31.78;68.26;60.09;54.88;58.36;58.07;55.55;69.07;65.42;57.02;50.89;58.25;52.9;55.51;78.01;54.98;79.84;43.34;71.02
13.jpg;66.27;70.99;30.03;47.59;31.77;60.02;60.45;42.23;55.45;0;67.92;71.94;74.95;55.07;75.79;56.6;61.1;59.32;55.56;48.25;71.96;52.04;72.35;54.23;60.9;55.67;59.94;53.31;71.29;64.72;61.72;62.65;54.6;63.18;64.98;78.16;62.16;83.84;53.74;84.67
