;8.jpg;9.jpg;14.jpg;29.jpg;15.jpg;17.jpg;16.jpg;12.jpg;40.jpeg;13.jpg;39.jpg;11.jpg;10.jpg;38.jpg;21.jpg;35.jpg;34.jpg;20.jpg;36.jpg;22.jpg;23.jpg;37.jpg;33.jpg;27.jpg;26.jpg;18.jpg;24.jpg;30.jpg;19.jpeg;31.jpg;25.jpg;4.jpg;28.jpeg;5.jpg;7.jpg;32.jpeg;6.jpg;2.jpg;3.jpg;1.jpg
8.jpg;0;65.2;29.53;55.26;30.99;34.21;35.38;60.82;26.32;28.65;64.33;52.92;27.49;29.82;37.13;61.7;31.58;26.61;64.33;53.51;44.74;31.29;63.74;26.02;24.85;36.84;27.49;33.04;35.09;38.6;56.43;22.51;54.68;20.18;42.69;65.5;22.51;61.7;21.64;36.55
9.jpg;65.2;0;65.5;94.15;65.2;73.1;71.93;89.18;63.45;65.2;99.12;75.44;50.58;65.2;78.95;100;64.04;67.84;94.44;94.74;84.8;65.5;48.25;68.42;67.25;73.98;65.79;66.08;73.39;66.37;96.49;66.08;97.08;66.67;95.03;99.71;67.25;96.49;66.37;69.59
14.jpg;29.53;65.5;0;44.44;5.56;21.64;23.39;38.3;15.5;6.73;56.43;49.71;27.78;18.42;30.41;52.05;24.27;21.05;50;47.37;40.35;16.96;48.83;20.47;22.22;20.18;21.35;18.13;28.95;26.02;53.22;21.64;46.78;22.22;51.17;55.26;22.22;56.73;23.1;31.58
29.jpg;55.26;94.15;44.44;0;45.91;47.95;50.88;76.9;46.49;41.81;83.33;75.44;54.09;45.91;52.05;76.02;48.25;42.69;77.49;69.01;66.08;48.54;76.9;36.26;46.78;51.75;47.08;46.78;50;50.58;78.36;48.54;60.82;46.78;76.9;81.58;48.54;78.36;50;53.22
15.jpg;30.99;65.2;5.56;45.91;0;23.1;24.85;40.35;16.96;8.19;56.14;50.58;28.65;20.47;31.87;53.51;25.73;22.51;51.46;48.83;41.23;16.67;46.78;21.93;23.68;21.64;22.22;19.59;30.41;23.98;54.09;22.51;48.83;24.27;52.05;56.14;21.93;58.19;22.81;33.04
17.jpg;34.21;73.1;21.64;47.95;23.1;0;8.19;55.26;25.44;20.76;60.53;54.39;33.04;26.61;33.92;57.31;29.53;23.98;58.77;50.29;45.61;28.07;60.53;23.39;27.49;13.74;26.61;27.49;32.46;30.12;57.31;28.07;50.88;25.15;56.43;60.53;25.73;59.65;28.95;34.5
16.jpg;35.38;71.93;23.39;50.88;24.85;8.19;0;55.85;27.78;23.68;63.45;54.97;33.63;29.53;36.84;60.23;32.46;25.73;61.7;51.46;47.95;30.41;63.45;25.15;30.41;14.91;28.95;30.41;35.38;33.04;59.06;30.41;53.8;29.82;58.77;63.45;30.99;60.82;28.95;35.67
12.jpg;60.82;89.18;38.3;76.9;40.35;55.26;55.85;0;49.12;41.52;85.96;80.99;59.06;47.37;62.87;84.5;56.73;51.75;82.46;77.49;73.98;51.17;76.61;51.17;54.68;57.31;54.97;50.58;57.31;53.8;85.67;53.51;79.24;55.26;84.8;86.55;55.26;86.84;53.22;61.7
40.jpeg;26.32;63.45;15.5;46.49;16.96;25.44;27.78;49.12;0;15.79;56.73;48.25;24.56;12.28;32.46;54.09;24.56;22.51;53.22;47.66;39.47;11.4;48.54;21.93;21.93;26.9;20.47;20.18;30.99;27.49;51.75;18.42;49.42;21.93;50.88;54.39;21.93;57.6;21.05;29.53
13.jpg;28.65;65.2;6.73;41.81;8.19;20.76;23.68;41.52;15.79;0;54.39;48.25;26.9;18.71;27.78;49.42;21.64;18.42;49.12;44.15;39.47;17.84;50.88;17.25;20.18;21.05;20.47;17.84;26.32;23.98;52.34;21.35;44.15;21.93;50.29;54.97;21.35;54.09;22.81;28.95
39.jpg;64.33;99.12;56.43;83.33;56.14;60.53;63.45;85.96;56.73;54.39;0;88.01;63.74;57.89;68.71;88.6;54.97;57.6;78.95;86.26;76.32;57.6;78.95;59.36;57.6;62.57;59.06;50.58;67.25;50.88;91.52;60.53;86.26;61.11;88.3;66.67;60.53;93.86;63.74;69.88
11.jpg;52.92;75.44;49.71;75.44;50.58;54.39;54.97;80.99;48.25;48.25;88.01;0;31.29;50;58.48;82.46;48.25;49.12;78.07;76.02;66.08;48.54;83.92;47.37;48.54;56.43;47.08;50.88;57.02;54.68;77.78;46.78;78.36;44.44;71.64;89.77;44.44;74.85;47.66;49.71
10.jpg;27.49;50.58;27.78;54.09;28.65;33.04;33.63;59.06;24.56;26.9;63.74;31.29;0;29.24;35.38;61.7;26.32;25.44;54.97;54.68;42.98;29.53;60.23;28.36;27.78;35.09;26.32;29.53;33.92;34.5;57.02;25.44;57.02;26.02;53.22;64.91;26.02;52.34;25.73;29.53
38.jpg;29.82;65.2;18.42;45.91;20.47;26.61;29.53;47.37;12.28;18.71;57.89;50;29.24;0;31.87;53.51;25.73;22.51;54.39;48.83;40.64;10.23;50.29;21.93;21.35;28.65;21.64;21.93;26.32;29.82;53.51;23.1;48.83;23.1;52.05;54.39;23.1;57.6;26.32;32.46
21.jpg;37.13;78.95;30.41;52.05;31.87;33.92;36.84;62.87;32.46;27.78;68.71;58.48;35.38;31.87;0;55.56;32.46;18.13;61.7;43.27;50.88;34.5;63.45;26.32;32.75;37.72;32.46;30.99;13.16;37.13;64.33;33.92;54.97;33.92;61.7;67.54;30.41;50.88;35.38;24.56
35.jpg;61.7;100;52.05;76.02;53.51;57.31;60.23;84.5;54.09;49.42;88.6;82.46;61.7;53.51;55.56;0;45.91;52.63;77.49;78.95;70.18;52.63;79.24;52.05;53.22;59.36;53.51;47.37;59.36;52.92;85.38;56.14;78.95;56.14;84.5;82.16;52.05;86.55;57.6;59.65
34.jpg;31.58;64.04;24.27;48.25;25.73;29.53;32.46;56.73;24.56;21.64;54.97;48.25;26.32;25.73;32.46;45.91;0;24.27;38.6;51.17;45.32;23.68;45.03;24.27;26.61;31.58;26.9;11.4;31.58;17.54;58.77;27.78;51.17;28.36;56.73;48.54;28.36;53.51;29.24;26.02
20.jpg;26.61;67.84;21.05;42.69;22.51;23.98;25.73;51.75;22.51;18.42;57.6;49.12;25.44;22.51;18.13;52.63;24.27;0;51.75;40.94;40.35;25.15;55.85;15.2;23.39;28.36;23.68;22.81;11.99;28.95;53.8;24.56;45.61;24.56;52.34;59.36;25.15;42.11;22.51;19.88
36.jpg;64.33;94.44;50;77.49;51.46;58.77;61.7;82.46;53.22;49.12;78.95;78.07;54.97;54.39;61.7;77.49;38.6;51.75;0;80.41;72.81;54.68;69.59;53.51;55.85;60.82;55.56;44.15;61.4;48.54;88.01;57.02;80.41;57.6;85.96;76.02;57.02;83.92;58.48;55.85
22.jpg;53.51;94.74;47.37;69.01;48.83;50.29;51.46;77.49;47.66;44.15;86.26;76.02;54.68;48.83;43.27;78.95;51.17;40.94;80.41;0;67.84;51.46;82.16;43.27;49.71;54.68;49.42;49.12;48.25;55.26;80.12;51.46;71.93;50.29;79.82;86.26;51.46;78.36;50.58;53.22
23.jpg;44.74;84.8;40.35;66.08;41.23;45.61;47.95;73.98;39.47;39.47;76.32;66.08;42.98;40.64;50.88;70.18;45.32;40.35;72.81;67.84;0;41.52;76.9;42.11;34.5;47.08;27.78;44.44;50;50.58;64.91;40.35;69.01;39.18;68.13;80.41;40.94;76.61;42.98;53.22
37.jpg;31.29;65.5;16.96;48.54;16.67;28.07;30.41;51.17;11.4;17.84;57.6;48.54;29.53;10.23;34.5;52.63;23.68;25.15;54.68;51.46;41.52;0;47.08;22.81;23.98;28.95;22.51;17.54;33.04;23.68;54.39;23.39;51.46;24.56;52.92;51.17;22.22;57.89;25.44;33.33
33.jpg;63.74;48.25;48.83;76.9;46.78;60.53;63.45;76.61;48.54;50.88;78.95;83.92;60.23;50.29;63.45;79.24;45.03;55.85;69.59;82.16;76.9;47.08;0;55.26;57.6;62.57;57.31;40.64;63.16;38.01;89.77;57.6;80.99;59.36;87.72;65.5;56.43;86.84;58.48;58.19
27.jpg;26.02;68.42;20.47;36.26;21.93;23.39;25.15;51.17;21.93;17.25;59.36;47.37;28.36;21.93;26.32;52.05;24.27;15.2;53.51;43.27;42.11;22.81;55.26;0;22.81;27.78;23.1;22.22;24.85;28.36;53.22;21.05;34.5;21.05;49.42;59.36;21.05;50.88;20.76;25.73
26.jpg;24.85;67.25;22.22;46.78;23.68;27.49;30.41;54.68;21.93;20.18;57.6;48.54;27.78;21.35;32.75;53.22;26.61;23.39;55.85;49.71;34.5;23.98;57.6;22.81;0;29.53;14.33;25.15;31.29;31.29;37.43;22.22;49.71;19.88;46.49;61.7;21.64;59.06;25.44;33.92
18.jpg;36.84;73.98;20.18;51.75;21.64;13.74;14.91;57.31;26.9;21.05;62.57;56.43;35.09;28.65;37.72;59.36;31.58;28.36;60.82;54.68;47.08;28.95;62.57;27.78;29.53;0;28.07;30.12;36.26;32.75;59.94;29.53;54.68;29.53;57.89;63.16;30.12;64.04;30.41;38.89
24.jpg;27.49;65.79;21.35;47.08;22.22;26.61;28.95;54.97;20.47;20.47;59.06;47.08;26.32;21.64;32.46;53.51;26.9;23.68;55.56;49.42;27.78;22.51;57.31;23.1;14.33;28.07;0;25.44;31.58;30.99;44.74;22.51;50;20.18;48.54;61.4;20.76;59.36;25.15;34.21
30.jpg;33.04;66.08;18.13;46.78;19.59;27.49;30.41;50.58;20.18;17.84;50.58;50.88;29.53;21.93;30.99;47.37;11.4;22.81;44.15;49.12;44.44;17.54;40.64;22.22;25.15;30.12;25.44;0;30.7;16.08;56.73;26.32;49.71;26.32;55.26;42.4;26.32;52.63;27.19;25.73
19.jpeg;35.09;73.39;28.95;50;30.41;32.46;35.38;57.31;30.99;26.32;67.25;57.02;33.92;26.32;13.16;59.36;31.58;11.99;61.4;48.25;50;33.04;63.16;24.85;31.29;36.26;31.58;30.7;0;36.84;62.87;32.46;52.92;31.87;60.23;67.25;33.04;47.66;32.16;22.51
31.jpg;38.6;66.37;26.02;50.58;23.98;30.12;33.04;53.8;27.49;23.98;50.88;54.68;34.5;29.82;37.13;52.92;17.54;28.95;48.54;55.26;50.58;23.68;38.01;28.36;31.29;32.75;30.99;16.08;36.84;0;62.87;31.29;54.68;32.46;61.4;44.44;30.7;58.19;31.58;31.29
25.jpg;56.43;96.49;53.22;78.36;54.09;57.31;59.06;85.67;51.75;52.34;91.52;77.78;57.02;53.51;64.33;85.38;58.77;53.8;88.01;80.12;64.91;54.39;89.77;53.22;37.43;59.94;44.74;56.73;62.87;62.87;0;53.22;81.29;49.71;78.65;93.86;52.63;89.47;54.68;64.33
4.jpg;22.51;66.08;21.64;48.54;22.51;28.07;30.41;53.51;18.42;21.35;60.53;46.78;25.44;23.1;33.92;56.14;27.78;24.56;57.02;51.46;40.35;23.39;57.6;21.05;22.22;29.53;22.51;26.32;32.46;31.29;53.22;0;47.37;14.04;42.98;62.28;13.45;60.23;8.48;30.99
28.jpeg;54.68;97.08;46.78;60.82;48.83;50.88;53.8;79.24;49.42;44.15;86.26;78.36;57.02;48.83;54.97;78.95;51.17;45.61;80.41;71.93;69.01;51.46;80.99;34.5;49.71;54.68;50;49.71;52.92;54.68;81.29;47.37;0;46.2;76.32;85.09;47.37;81.29;49.42;56.14
5.jpg;20.18;66.67;22.22;46.78;24.27;25.15;29.82;55.26;21.93;21.93;61.11;44.44;26.02;23.1;33.92;56.14;28.36;24.56;57.6;50.29;39.18;24.56;59.36;21.05;19.88;29.53;20.18;26.32;31.87;32.46;49.71;14.04;46.2;0;38.3;63.45;8.77;60.23;17.25;35.09
7.jpg;42.69;95.03;51.17;76.9;52.05;56.43;58.77;84.8;50.88;50.29;88.3;71.64;53.22;52.05;61.7;84.5;56.73;52.34;85.96;79.82;68.13;52.92;87.72;49.42;46.49;57.89;48.54;55.26;60.23;61.4;78.65;42.98;76.32;38.3;0;91.81;39.47;88.01;45.61;62.87
32.jpeg;65.5;99.71;55.26;81.58;56.14;60.53;63.45;86.55;54.39;54.97;66.67;89.77;64.91;54.39;67.54;82.16;48.54;59.36;76.02;86.26;80.41;51.17;65.5;59.36;61.7;63.16;61.4;42.4;67.25;44.44;93.86;62.28;85.09;63.45;91.81;0;62.87;90.94;63.74;63.45
6.jpg;22.51;67.25;22.22;48.54;21.93;25.73;30.99;55.26;21.93;21.35;60.53;44.44;26.02;23.1;30.41;52.05;28.36;25.15;57.02;51.46;40.94;22.22;56.43;21.05;21.64;30.12;20.76;26.32;33.04;30.7;52.63;13.45;47.37;8.77;39.47;62.87;0;60.82;17.25;35.67
2.jpg;61.7;96.49;56.73;78.36;58.19;59.65;60.82;86.84;57.6;54.09;93.86;74.85;52.34;57.6;50.88;86.55;53.51;42.11;83.92;78.36;76.61;57.89;86.84;50.88;59.06;64.04;59.36;52.63;47.66;58.19;89.47;60.23;81.29;60.23;88.01;90.94;60.82;0;57.6;36.84
3.jpg;21.64;66.37;23.1;50;22.81;28.95;28.95;53.22;21.05;22.81;63.74;47.66;25.73;26.32;35.38;57.6;29.24;22.51;58.48;50.58;42.98;25.44;58.48;20.76;25.44;30.41;25.15;27.19;32.16;31.58;54.68;8.48;49.42;17.25;45.61;63.74;17.25;57.6;0;28.95
1.jpg;36.55;69.59;31.58;53.22;33.04;34.5;35.67;61.7;29.53;28.95;69.88;49.71;29.53;32.46;24.56;59.65;26.02;19.88;55.85;53.22;53.22;33.33;58.19;25.73;33.92;38.89;34.21;25.73;22.51;31.29;64.33;30.99;56.14;35.09;62.87;63.45;35.67;36.84;28.95;0
