8.119475,1.jpg,2.jpg,3.jpg,4.jpg,5.jpg,6.jpg,7.jpg,8.jpg,9.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg,16.jpg,17.jpg,18.jpg,19.jpeg,20.jpg,21.jpg,22.jpg,23.jpg,24.jpg,25.jpg,26.jpg,27.jpg,28.jpeg,29.jpg,30.jpg,31.jpg,32.jpeg,33.jpg,34.jpg,35.jpg,36.jpg,37.jpg,38.jpg,39.jpg,40.jpeg
1.jpg,0,26.22,13.74,9.69,12.14,16.76,7.6,5.89,3.19,10.48,3.51,12.79,20.63,18.65,15.37,11.67,20.94,15.05,6.07,5.91,2.75,0.66,14.07,16.75,14.43,19.88,15.58,14.4,4.5,4.23,7.38,22.6,16.55,12.28,5.64,2.7,13.53,16.16,14.84,8.44
2.jpg,26.22,0,10.25,13.54,9.63,14.32,5.37,3.33,1,5.16,0.37,10.42,17.37,16.31,12.63,8.47,17.86,12.63,10.51,9.84,1.41,3.23,9.39,14.23,11.93,18.05,12.43,12.05,2.13,1.42,4.31,17.9,11.14,7.91,1.36,1.78,10.32,13.97,11.09,11.31
3.jpg,13.74,10.25,0,41.33,28.86,26.11,20.79,29.14,22.68,17.64,23.99,20.13,14.93,17.07,20.67,19.26,12.34,16.98,12.59,19.49,10.97,25.25,21.5,12.7,11.77,14.3,15.13,22.68,24.12,13.23,18.71,5.87,14.34,11.41,25.69,22.13,16.09,20.12,15.92,26.61
4.jpg,9.69,13.54,41.33,0,13.14,9.94,13.22,14.82,0.83,6.17,0.5,4.54,9.87,4.24,3.1,1.32,10.21,7,10.93,2.09,14.36,0.75,0.76,6.34,1.23,7.62,5.92,1.53,2.04,5.18,2.93,17.96,9.61,12.23,1.59,3.4,6.43,4.29,8.19,4.5
5.jpg,12.14,9.63,28.86,13.14,0,22.59,24.57,10.13,4,4.28,6.18,1.54,8.56,7.69,2.87,0.04,7.46,4.65,9.98,0.95,12.01,2.19,4.66,3.13,4.35,0.63,3.3,3.89,5.69,2.21,4.5,17.73,11.36,11.24,5.07,0.52,0.23,0.16,4.95,1.14
6.jpg,16.76,14.32,26.11,9.94,22.59,0,11.91,12.95,2.18,7.78,1.15,4.93,11.92,8.23,5.92,3.75,8.96,9.38,14.12,3.97,11.05,0.59,0.43,8.96,4.69,4.88,8.16,2.32,0.42,3.37,6.44,20.79,12.63,14.93,2.11,2.38,5.28,5.7,8.51,2.96
7.jpg,7.6,5.37,20.79,13.22,24.57,11.91,0,26.23,7.38,1.15,11.44,1.59,6.32,1.93,0.89,1.07,5.39,1.56,4.57,2,5.86,7.08,5.85,3.87,1.86,1.66,1.73,3.81,5.04,0.15,5.46,15.02,8.9,8.7,7.19,1.71,3.9,0.55,1.86,1.07
8.jpg,5.89,3.33,29.14,14.82,10.13,12.95,26.23,0,11.84,1.93,2.93,0.58,5.64,3.56,1.66,1.75,7.62,3.64,3.09,6.99,2.48,5.1,6.93,2.63,2.29,1.68,2.71,2.63,5.22,0.38,0.09,12.11,6.7,6.17,5.98,2.29,0.53,1.58,2.22,3.34
9.jpg,3.19,1,22.68,0.83,4,2.18,7.38,11.84,0,24.71,21.51,0.4,10.6,8.45,5.98,3.6,11.81,8.24,6.03,0.71,11.95,2.54,0.7,4.04,0.49,5.67,12.41,7.84,1.95,0.87,2.72,14.23,12.39,1.82,2.11,1.88,8.08,5.17,7.45,1.98
10.jpg,10.48,5.16,17.64,6.17,4.28,7.78,1.15,1.93,24.71,0,16.49,12.42,19.85,16.41,13.02,11.78,22.05,15.86,21.2,6.82,20.95,6.66,8.39,11.53,9.48,13.17,21.73,17.67,7.96,7.32,7.02,22.92,14.1,11.29,7.39,3.26,11.94,15.32,19.37,11.58
11.jpg,3.51,0.37,23.99,0.5,6.18,1.15,11.44,2.93,21.51,16.49,0,5.9,13.16,10.58,6.81,3.37,13.6,8.72,13.89,2.18,14.47,0.27,2.24,4.52,1.89,6.53,11.5,10.02,0.26,2.07,3.31,22.19,10.08,6.76,1.1,1.22,5.19,6.79,12.17,4.99
12.jpg,12.79,10.42,20.13,4.54,1.54,4.93,1.59,0.58,0.4,12.42,5.9,0,5.35,12.64,11.05,3.4,6.48,2.67,4.39,0.08,12.45,4.86,3.27,5.66,2.97,8.41,9.02,4.76,5.07,0.12,0.33,14.66,4.65,10.47,2.73,1.43,0.72,0.96,8.15,1.9
13.jpg,20.63,17.37,14.93,9.87,8.56,11.92,6.32,5.64,10.6,19.85,13.16,5.35,0,6.25,4.81,7.91,15.5,5.6,14.56,5.94,18.84,2.38,9.99,11.3,10.34,14,11.98,9.6,0.8,5.95,5.03,19.37,12.44,14.25,2.53,3.15,3.41,9.85,12.19,4.19
14.jpg,18.65,16.31,17.07,4.24,7.69,8.23,1.93,3.56,8.45,16.41,10.58,12.64,6.25,0,12.98,1.29,9.15,1.1,14.31,4.63,17.44,1.5,7.26,9.23,6.31,11.47,12.6,8.92,1.16,3.15,2.53,18.67,9.14,15.12,2.18,4.28,1.75,6.72,10.69,1.06
15.jpg,15.37,12.63,20.67,3.1,2.87,5.92,0.89,1.66,5.98,13.02,6.81,11.05,4.81,12.98,0,0.25,7.05,0.39,12.18,3.11,14.97,1.5,4.99,6.75,3.7,8.69,10.3,5.52,2.53,0.37,4.5,18.54,8.33,12.63,1.57,1.48,0.9,3.77,9.54,2.59
16.jpg,11.67,8.47,19.26,1.32,0.04,3.75,1.07,1.75,3.6,11.78,3.37,3.4,7.91,1.29,0.25,0,17.66,11.46,10.83,1.51,12.25,6.05,2.49,3.11,0.09,4.74,6.8,2.27,4.89,1.48,2.1,11.12,11.09,10.69,5.08,2.01,8.25,4.18,2.98,3.03
17.jpg,20.94,17.86,12.34,10.21,7.46,8.96,5.39,7.62,11.81,22.05,13.6,6.48,15.5,9.15,7.05,17.66,0,6.21,16.36,6.12,19.2,3.56,10.15,11.75,8.99,13.34,15.02,9.91,0.81,11.04,8.14,20.91,19.82,19.41,4.91,8.87,11.25,12.41,12.32,10.24
18.jpg,15.05,12.63,16.98,7,4.65,9.38,1.56,3.64,8.24,15.86,8.72,2.67,5.6,1.1,0.39,11.46,6.21,0,11.53,0.74,13.97,2.11,5.09,8.72,4.5,10,10.35,5.21,4.15,6.42,2.77,15.57,15.29,15.06,0.26,4.72,7.15,8.02,8.81,4.41
19.jpeg,6.07,10.51,12.59,10.93,9.98,14.12,4.57,3.09,6.03,21.2,13.89,4.39,14.56,14.31,12.18,10.83,16.36,11.53,0,15.55,10.06,5.65,10.59,11.95,11.89,16.29,11.83,14.89,2.18,9.29,12.62,22.8,17.72,17.42,2.26,6.96,13.14,6.97,12.09,12.04
20.jpg,5.91,9.84,19.49,2.09,0.95,3.97,2,6.99,0.71,6.82,2.18,0.08,5.94,4.63,3.11,1.51,6.12,0.74,15.55,0,8.66,8.18,0.26,3.1,2.23,6.38,0.5,1.14,8.16,0.75,6.61,12.62,9.99,8.42,7.01,3.69,7.8,4.16,2.69,4.85
21.jpg,2.75,1.41,10.97,14.36,12.01,11.05,5.86,2.48,11.95,20.95,14.47,12.45,18.84,17.44,14.97,12.25,19.2,13.97,10.06,8.66,0,7.91,12.55,11.44,14.2,16.88,12.93,11.02,3.13,11.16,13.37,26.81,21.17,20.46,0.72,10.13,16.23,16.28,16.88,15
