,1.jpg,2.jpg,3.jpg,4.jpg,5.jpg,6.jpg,7.jpg,8.jpg,9.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg,16.jpg,17.jpg,18.jpg,19.jpeg,20.jpg,21.jpg,22.jpg,23.jpg,24.jpg,25.jpg,26.jpg,27.jpg,28.jpeg,29.jpg,30.jpg,31.jpg,32.jpeg,33.jpg,34.jpg,35.jpg,36.jpg,37.jpg,38.jpg,39.jpg,40.jpeg
1.jpg,0,6.05,81.53,78.08,85.33,88.89,81.42,86.01,72.08,66.93,62.67,83.88,81.42,81.19,78.95,86.23,81.53,86.45,40.1,37.64,46.84,56.25,93.73,86.68,82.2,79.96,63.61,68.09,63.39,61.49,82.65,93.95,79.06,64.29,77.72,68.43,75.03,75.59,93.06,72.57
2.jpg,6.05,0,87.57,84.12,82.42,85.98,78.5,83.09,69.17,60.88,59.76,80.97,78.5,78.28,76.04,83.32,78.62,83.54,37.19,31.59,43.93,53.34,87.68,83.77,79.29,77.05,60.7,65.18,60.48,58.58,79.74,89.03,76.15,60.93,74.81,62.83,72.12,72.68,87.46,78.62
3.jpg,81.53,87.57,0,13.75,41.42,34.01,43.1,49.71,68.97,65.16,63.14,59.67,66.17,57.88,56.99,70.09,66.73,71.65,79.04,69.86,80.41,61.15,71.32,62.92,60.23,56.65,54.19,54.19,58.44,63.93,75.01,93.48,83.97,69.19,67.85,71.99,58.89,57.66,84.08,50.83
4.jpg,78.08,84.12,13.75,0,33.95,31.42,34.28,43.13,65.07,61.26,59.25,55.33,61.82,53.54,52.64,65.74,62.38,67.31,75.15,65.97,80.54,56.81,66.97,58.58,55.89,52.31,49.84,49.84,54.1,60.66,71.74,89.59,80.7,65.29,68.43,68.27,54.99,53.31,79.74,46.48
5.jpg,85.33,82.42,41.42,33.95,0,12.52,18.47,39.18,64.26,60.9,48.81,62.14,61.02,56.31,54.08,63.59,54.41,63.82,72.1,63.82,77.05,51.07,58.11,50.6,48.81,43.89,44.11,42.77,47.02,63.48,76.58,91.02,85.54,66.28,64.04,70.87,53.29,50.72,78.03,56.2
6.jpg,88.89,85.98,34.01,31.42,12.52,0,23.82,40.06,66.03,61.78,53.99,60.59,61.71,55.67,53.43,66.08,58.24,67.64,75.66,67.38,71.65,54.46,61.49,53.99,52.19,47.27,48.84,48.84,53.09,59.92,73.02,91.27,81.97,66.52,58.46,67.31,52.64,50.96,79.18,56.67
7.jpg,81.42,78.5,43.1,34.28,18.47,23.82,0,25.86,60.34,56.99,46.24,63.82,64.71,57.99,55.98,65.27,60.57,65.49,66.84,59.9,71.79,52.53,59.11,52.51,51.16,43.1,47.81,47.36,51.61,65.83,78.93,93.37,87.89,68.18,65.94,73.22,56.99,53.07,77.7,58.55
8.jpg,86.01,83.09,49.71,43.13,39.18,40.06,25.86,0,58.67,55.31,64.71,72.66,69.3,67.29,65.05,75.46,71.65,76.58,68.74,65.38,74.14,59.81,62.58,59.79,60.23,52.17,56.87,56.87,61.13,71.99,81.28,89.9,90.69,65.61,70.09,79.15,64.26,60.34,80.05,64.04
9.jpg,72.08,69.17,68.97,65.07,64.26,66.03,60.34,58.67,0,9.63,20.82,60.57,71.99,68.63,68.18,79.49,76.13,81.06,73.67,74.79,87.57,64.29,78.48,70.53,68.74,65.16,71.65,71.65,66.95,65.27,71.43,87.66,78.15,57.1,78.15,67.51,68.29,58.55,84.08,71.43
10.jpg,66.93,60.88,65.16,61.26,60.9,61.78,56.99,55.31,9.63,0,17.02,69.3,69.97,66.61,64.38,76.58,73.22,78.15,78.37,67.4,83.32,60.93,70.64,67.62,65.83,62.25,68.74,68.74,64.04,60.12,71.2,84.53,76.58,52.4,75.24,59.67,64.49,64.6,80.72,68.52
11.jpg,62.67,59.76,63.14,59.25,48.81,53.99,46.24,64.71,20.82,17.02,0,67.51,67.29,64.38,62.14,71.65,66.95,71.88,73.89,66.5,78.84,55.78,70.42,62.02,59.56,55.98,57.99,62.47,57.77,59.45,73.89,96.39,80.16,55.98,69.86,62.81,56.87,60.12,87.44,65.61
12.jpg,83.88,80.97,59.67,55.33,62.14,60.59,63.82,72.66,60.57,69.3,67.51,0,30,16.79,19.93,59,55.64,60.12,65.27,65.49,79.62,50.07,73.22,64.38,62.14,58.55,55.19,55.19,50.49,53.07,62.14,79.27,66.17,62.58,65.27,56.87,45.34,35.83,72.77,48.25
13.jpg,81.42,78.5,66.17,61.82,61.02,61.71,64.71,69.3,71.99,69.97,67.29,30,0,15.9,17.69,55.64,52.28,52.73,68.63,60.34,74.88,48.01,71.65,61.46,60.57,56.99,44.67,47.81,43.55,52.84,62.81,75.91,69.97,56.54,60.12,56.65,43.1,49.04,70.09,44.67
14.jpg,81.19,78.28,57.88,53.54,56.31,55.67,57.99,67.29,68.63,66.61,64.38,16.79,15.9,0,4.48,48.7,45.34,45.79,69.3,60.12,74.65,47.78,66.95,58.11,55.87,52.28,47.58,47.58,43.33,49.04,60.34,76.58,64.82,57.66,60.34,53.29,38.4,40.75,70.53,43.1
15.jpg,78.95,76.04,56.99,52.64,54.08,53.43,55.98,65.05,68.18,64.38,62.14,19.93,17.69,4.48,0,46.91,43.55,44,66.17,57.88,72.41,45.54,64.71,53.63,53.63,50.04,45.34,45.34,41.09,46.8,59.9,73.89,62.14,55.42,58.11,48.81,36.16,38.51,67.85,40.86
16.jpg,86.23,83.32,70.09,65.74,63.59,66.08,65.27,75.46,79.49,76.58,71.65,59,55.64,48.7,46.91,0,13.66,27.09,74.34,64.71,79.24,52.37,74.23,65.83,63.14,59.56,52.17,52.17,47.92,65.27,70.76,83.86,88.67,68.52,68.52,72.66,61.8,57.88,76.69,63.82
17.jpg,81.53,78.62,66.73,62.38,54.41,58.24,60.57,71.65,76.13,73.22,66.95,55.64,52.28,45.34,43.55,13.66,0,22.39,69.64,60.01,74.54,47.67,69.53,61.13,58.44,54.86,47.47,47.47,43.22,61.91,67.4,80.5,85.31,65.16,63.82,69.3,58.44,54.52,73.33,60.46
18.jpg,86.45,83.54,71.65,67.31,63.82,67.64,65.49,76.58,81.06,78.15,71.88,60.12,52.73,45.79,44,27.09,22.39,0,74.56,64.94,79.47,52.6,74.45,66.05,63.37,59.79,52.4,52.4,48.14,66.84,72.32,85.42,90.24,70.09,68.74,74.23,58.89,59.45,78.26,62.47
19.jpeg,40.1,37.19,79.04,75.15,72.1,75.66,66.84,68.74,73.67,78.37,73.89,65.27,68.63,69.3,66.17,74.34,69.64,74.56,0,15,25.55,41.22,78.71,71.2,70.31,68.97,53.07,57.55,52.84,70.2,84.19,91.92,87.77,70.76,69.41,71.76,67.85,54.97,84.75,69.86
20.jpg,37.64,31.59,69.86,65.97,63.82,67.38,59.9,65.38,74.79,67.4,66.5,65.49,60.34,60.12,57.88,64.71,60.01,64.94,15,0,26.18,36.03,69.08,65.16,61.13,59.79,43.44,47.92,43.22,59.67,75.46,84.3,82.18,62.02,62.47,63.48,62.47,58.55,76.47,64.49
21.jpg,46.84,43.93,80.41,80.54,77.05,71.65,71.79,74.14,87.57,83.32,78.84,79.62,74.88,74.65,72.41,79.24,74.54,79.47,25.55,26.18,0,31.35,84.55,73.91,75.26,72.57,56.63,61.11,56.4,74.25,88.69,100,95.86,76.15,65.85,79.85,75.71,71.79,92.83,77.72
22.jpg,56.25,53.34,61.15,56.81,51.07,54.46,52.53,59.81,64.29,60.93,55.78,50.07,48.01,47.78,45.54,52.37,47.67,52.6,41.22,36.03,31.35,0,59.02,48.39,50.63,47.04,34.24,34.24,29.53,49.62,64.06,75.37,71.23,52.87,51.52,55.22,48.84,44.92,68.2,50.85
23.jpg,93.73,87.68,71.32,66.97,58.11,61.49,59.11,62.58,78.48,70.64,70.42,73.22,71.65,66.95,64.71,74.23,69.53,74.45,78.71,69.08,84.55,59.02,0,30.34,44.67,41.09,63.7,63.7,59,71.88,86.32,97.4,93.93,71.54,62.58,76.58,65.27,61.35,85.09,67.29
24.jpg,86.68,83.77,62.92,58.58,50.6,53.99,52.51,59.79,70.53,67.62,62.02,64.38,61.46,58.11,53.63,65.83,61.13,66.05,71.2,65.16,73.91,48.39,30.34,0,36.27,32.69,55.31,55.31,50.6,63.48,75.68,86.09,80.61,64.49,56.43,65.94,56.65,52.73,74.9,58.67
25.jpg,82.2,79.29,60.23,55.89,48.81,52.19,51.16,60.23,68.74,65.83,59.56,62.14,60.57,55.87,53.63,63.14,58.44,63.37,70.31,61.13,75.26,50.63,44.67,36.27,0,12.54,52.62,52.62,47.92,62.14,75.24,89.68,84.19,65.38,58.67,69.53,54.19,50.27,78.03,56.2
26.jpg,79.96,77.05,56.65,52.31,43.89,47.27,43.1,52.17,65.16,62.25,55.98,58.55,56.99,52.28,50.04,59.56,54.86,59.79,68.97,59.79,72.57,47.04,41.09,32.69,12.54,0,49.04,49.04,44.33,58.55,71.65,86.09,80.61,61.8,55.08,65.94,49.26,45.34,70.42,51.28
27.jpg,63.61,60.7,54.19,49.84,44.11,48.84,47.81,56.87,71.65,68.74,57.99,55.19,44.67,47.58,45.34,52.17,47.47,52.4,53.07,43.44,56.63,34.24,63.7,55.31,52.62,49.04,0,8.96,13.66,51.61,66.05,79.15,75.01,54.86,53.52,59,48.14,48.7,71.99,54.64
28.jpeg,68.09,65.18,54.19,49.84,42.77,48.84,47.36,56.87,71.65,68.74,62.47,55.19,47.81,47.58,45.34,52.17,47.47,52.4,57.55,47.92,61.11,34.24,63.7,55.31,52.62,49.04,8.96,0,4.7,51.61,61.58,76.91,70.53,54.41,53.52,57.66,52.62,48.7,71.99,54.64
29.jpg,63.39,60.48,58.44,54.1,47.02,53.09,51.61,61.13,66.95,64.04,57.77,50.49,43.55,43.33,41.09,47.92,43.22,48.14,52.84,43.22,56.4,29.53,59,50.6,47.92,44.33,13.66,4.7,0,46.91,56.87,72.21,65.83,49.71,48.81,52.96,47.92,44,67.29,49.93
30.jpg,61.49,58.58,63.93,60.66,63.48,59.92,65.83,71.99,65.27,60.12,59.45,53.07,52.84,49.04,46.8,65.27,61.91,66.84,70.2,59.67,74.25,49.62,71.88,63.48,62.14,58.55,51.61,51.61,46.91,0,26.09,48.14,27.88,22.5,41.09,28.66,41.31,49.26,52.4,53.63
31.jpg,82.65,79.74,75.01,71.74,76.58,73.02,78.93,81.28,71.43,71.2,73.89,62.14,62.81,60.34,59.9,70.76,67.4,72.32,84.19,75.46,88.69,64.06,86.32,75.68,75.24,71.65,66.05,61.58,56.87,26.09,0,38.18,23.29,33.14,52.84,39.52,54.19,62.14,43.78,66.05
32.jpeg,93.95,89.03,93.48,89.59,91.02,91.27,93.37,89.9,87.66,84.53,96.39,79.27,75.91,76.58,73.89,83.86,80.5,85.42,91.92,84.3,100,75.37,97.4,86.09,89.68,86.09,79.15,76.91,72.21,48.14,38.18,0,36.83,53.4,66.84,51.95,63.48,69.41,20.38,73.33
33.jpg,79.06,76.15,83.97,80.7,85.54,81.97,87.89,90.69,78.15,76.58,80.16,66.17,69.97,64.82,62.14,88.67,85.31,90.24,87.77,82.18,95.86,71.23,93.93,80.61,84.19,80.61,75.01,70.53,65.83,27.88,23.29,36.83,0,38.51,61.8,29.67,54.19,62.14,49.6,66.05
34.jpg,64.29,60.93,69.19,65.29,66.28,66.52,68.18,65.61,57.1,52.4,55.98,62.58,56.54,57.66,55.42,68.52,65.16,70.09,70.76,62.02,76.15,52.87,71.54,64.49,65.38,61.8,54.86,54.41,49.71,22.5,33.14,53.4,38.51,0,35.83,23.18,50.83,55.87,57.88,59.79
