,1.jpg,2.jpg,3.jpg,4.jpg,5.jpg,6.jpg,7.jpg,8.jpg,9.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg,16.jpg,17.jpg,18.jpg,19.jpeg,20.jpg,21.jpg,22.jpg,23.jpg,24.jpg,25.jpg,26.jpg,27.jpg,28.jpeg,29.jpg,30.jpg,31.jpg,32.jpeg,33.jpg,34.jpg,35.jpg,36.jpg,37.jpg,38.jpg,39.jpg,40.jpeg
1.jpg,0,32.27,95.27,68.39,73.19,72.13,73.82,80.12,68.89,56.45,59.16,71.09,60.79,62.54,63.58,74.56,60.59,71.4,46.17,43.55,49.59,56.91,79.66,69.93,67.77,60.08,48.03,53.69,58.89,57.26,75.27,71.35,62.51,52.01,72.08,65.73,61.5,59.43,78.22,64.13
2.jpg,32.27,0,97.82,70.58,72.79,71.66,73.13,79.76,68.17,55.72,59.39,70.55,61.13,61.97,63.41,74.85,60.76,70.91,47.7,41.43,45.34,56.57,78.29,69.54,67.36,59,48.27,53.13,58.35,57.16,75.43,71.13,65.01,53.02,73.45,64.61,61.8,58.71,76.37,67.31
3.jpg,95.27,97.82,0,55.08,70.28,60.12,63.89,78.85,91.65,82.8,87.13,79.8,81.1,74.95,77.66,89.35,79.07,88.63,91.63,89.35,91.38,86.4,92.82,75.62,72,70.95,69.32,76.87,82.56,77.16,93.72,99.35,98.31,80.6,93.54,94.12,74.98,77.78,100,77.44
4.jpg,68.39,70.58,55.08,0,47.09,41.36,47.5,57.95,64.24,55.09,58.75,50.79,51.95,49.3,49.54,64.42,52.17,60.31,64.22,63.88,66.18,57.56,66.21,52.24,54.66,44.69,43.92,48.31,56.14,55.48,68.81,71.63,71.09,53.06,70.02,64.87,48.56,49.02,71.55,50.98
5.jpg,73.19,72.79,70.28,47.09,0,35.11,43.04,49.31,68.26,56.62,54.99,60.6,52.46,48.62,51.21,63.63,46.95,59.17,62.12,64.77,65.04,53.26,62.77,53.73,53.16,44.52,40.81,46.66,52.71,61.27,72.08,73.29,74.18,55.04,69.11,70.35,53.06,50.88,73.08,57.34
6.jpg,72.13,71.66,60.12,41.36,35.11,0,35.73,53.01,63.85,54,55.14,55.66,49.79,47.44,47.51,62.33,49.28,58.26,61.54,63.41,60.6,55.05,61.92,45.03,47.5,42.39,40.68,46.52,53.51,56.55,66.58,70.48,69.34,51.59,60.57,64.93,47.36,45.26,70.67,53.71
7.jpg,73.82,73.13,63.89,47.5,43.04,35.73,0,52.09,67.72,58.14,57.68,65.41,58.39,56.06,55.09,66.34,55.18,63.93,62.27,61.9,65.93,59.61,64.96,48.64,53.02,44.76,46.08,51.17,56.65,65.68,73.47,78.35,78.99,59.48,73.13,74.93,53.09,53.62,75.84,59.62
8.jpg,80.12,79.76,78.85,57.95,49.31,53.01,52.09,0,70.51,57.24,67.64,72.08,63.66,63.73,63.39,77.21,64.03,72.94,65.65,72.37,71.66,64.91,69.51,62.42,62.52,53.85,54.16,59.5,66.35,72.37,81.19,77.79,83.99,59.44,76.07,81.44,64.79,61.92,77.83,67.38
9.jpg,68.89,68.17,91.65,64.24,68.26,63.85,67.72,70.51,0,34.34,42.33,60.17,61.39,60.18,62.2,75.89,64.32,72.82,67.64,75.5,75.62,66.83,79.18,66.49,69.23,59.49,59.24,63.81,68.9,66.14,74.15,73.43,65.76,55.28,80.26,69.39,60.21,53.38,76.63,69.45
10.jpg,56.45,55.72,82.8,55.09,56.62,54,58.14,57.24,34.34,0,33.51,56.88,50.12,50.2,51.36,64.8,51.17,62.29,57.17,60.58,62.37,54.27,62.25,56.09,56.35,49.08,47.01,51.07,56.08,52.8,64.18,61.61,62.48,41.11,67.85,56.41,52.55,49.28,61.35,56.94
