,1.jpg,2.jpg,3.jpg,4.jpg,5.jpg,6.jpg,7.jpg,8.jpg,9.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg,16.jpg,17.jpg,18.jpg,19.jpeg,20.jpg,21.jpg,22.jpg,23.jpg,24.jpg,25.jpg,26.jpg,27.jpg,28.jpeg,29.jpg,30.jpg,31.jpg,32.jpeg,33.jpg,34.jpg,35.jpg,36.jpg,37.jpg,38.jpg,39.jpg,40.jpeg
1.jpg,0,34.39,68.48,79.29,83.66,85.93,77.52,80.93,78.99,75.81,75.62,81.84,84.67,84.69,76.86,84.57,84.8,82.15,52.67,41.85,63.54,54.02,91.23,83.33,82.11,82.29,75.24,78.29,65.07,67.51,81.2,100,94.53,72.45,78.13,67.26,78.38,82.56,89.85,71.02
2.jpg,34.39,0,73.28,86.52,83.2,83.93,76.95,85.84,78.64,75.07,75.76,81.9,83.84,82.81,75.93,83.77,84.69,81.82,59.74,38.83,61.05,52.01,89.48,82.11,81.83,80.54,71.65,77.86,63.78,64.29,74.81,93.85,92.81,68.68,73.03,62.66,73.91,82.36,86.85,79.84
3.jpg,68.48,73.28,0,33.98,43.17,44.39,43.93,51.24,55.91,57.71,53.61,48.23,53.74,51.1,42.36,55.56,59.57,55.31,63.18,49.35,65.68,39.87,62.63,53.62,52.66,51.21,51.1,50.95,41.51,51.12,59.87,80.61,73.66,58.36,49.93,54.46,52.99,55.22,68.83,43.34
4.jpg,79.29,86.52,33.98,0,43.47,45.8,44.89,53.04,67.44,68.12,65.09,54.08,62.65,60.77,52.85,67.47,69.12,65.5,76.6,62.85,79.54,52.61,68.35,61.47,62.04,57.55,55.1,51.53,52.89,60.08,70.27,90.12,79.61,67.09,60.54,62.21,62.52,63.53,75.52,50.89
5.jpg,83.66,83.2,43.17,43.47,0,30.21,31.49,43.34,60.89,60.42,52.67,59.46,63.18,57.87,50.99,60.56,58.11,60.5,71.54,58.76,76.31,47.8,54.76,54.15,54.02,48.68,55.67,49.13,44.92,61.23,73.41,91.13,82.67,65.97,57.92,62.84,55.24,54.94,71.96,52.9
6.jpg,85.93,83.93,44.39,45.8,30.21,0,29.27,48.27,62.59,63.1,59.18,58.23,62.16,58.17,51.17,63.45,63.06,62.04,72.65,60.25,69.71,48.2,62.54,55.82,58.55,52.94,53.93,51.19,50.14,60.38,68.98,89.95,79.29,64.84,53.44,61.22,54.79,55.96,71.78,54.98
7.jpg,77.52,76.95,43.93,44.89,31.49,29.27,0,43.52,57.35,60.49,52.38,57.99,64.98,60.64,51.99,61.84,65.35,61.85,66.53,51.61,67.05,44.2,60.42,54.92,60.02,52.9,54.28,51.1,48.71,62.3,72.74,91.72,84.73,67.28,58.5,63.04,56.82,59.36,71.59,55.51
8.jpg,80.93,85.84,51.24,53.04,43.34,48.27,43.52,0,59.23,61.04,62.6,64.97,66.27,65.6,58,69.03,70.76,68.06,65.13,58.78,70.43,53.72,60.47,60.29,63.15,56,63.81,60.52,56.1,65.39,75.47,90.31,84.65,64.96,63.11,66.06,62.79,63.36,73.78,58.44
9.jpg,78.99,78.64,55.91,67.44,60.89,62.59,57.35,59.23,0,30.92,34.07,62.86,70.99,71.3,62.54,72.28,76.65,73.73,72.56,64.06,81.47,54.66,71.2,62.44,65.84,63.92,70.06,69.57,58.44,62.2,64.74,88.16,79.32,58.83,65.84,63.49,62.89,64.4,79.72,65.13
10.jpg,75.81,75.07,57.71,68.12,60.42,63.1,60.49,61.04,30.92,0,31.05,70.44,74.95,70.17,62.09,73.64,77.66,75.31,81.1,67.08,85.11,58.93,69.97,66.44,65.89,67.82,74.33,74.25,62.34,65.57,68.45,91.3,85.05,61.75,70.24,59.25,67.53,70.92,81.49,66.04
