,1.jpg,2.jpg,3.jpg,4.jpg,5.jpg,6.jpg,7.jpg,8.jpg,9.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg,16.jpg,17.jpg,18.jpg,19.jpeg,20.jpg,21.jpg,22.jpg,23.jpg,24.jpg,25.jpg,26.jpg,27.jpg,28.jpeg,29.jpg,30.jpg,31.jpg,32.jpeg,33.jpg,34.jpg,35.jpg,36.jpg,37.jpg,38.jpg,39.jpg,40.jpeg
1.jpg,0,36.84,28.95,30.99,35.09,35.67,62.87,36.55,69.59,29.53,49.71,61.7,28.95,31.58,33.04,35.67,34.5,38.89,22.51,19.88,24.56,53.22,53.22,34.21,64.33,33.92,25.73,56.14,53.22,25.73,31.29,63.45,58.19,26.02,59.65,55.85,33.33,32.46,69.88,29.53
2.jpg,36.84,0,57.6,60.23,60.23,60.82,88.01,61.7,96.49,52.34,74.85,86.84,54.09,56.73,58.19,60.82,59.65,64.04,47.66,42.11,50.88,78.36,76.61,59.36,89.47,59.06,50.88,81.29,78.36,52.63,58.19,90.94,86.84,53.51,86.55,83.92,57.89,57.6,93.86,57.6
3.jpg,28.95,57.6,0,8.48,17.25,17.25,45.61,21.64,66.37,25.73,47.66,53.22,22.81,23.1,22.81,28.95,28.95,30.41,32.16,22.51,35.38,50.58,42.98,25.15,54.68,25.44,20.76,49.42,50,27.19,31.58,63.74,58.48,29.24,57.6,58.48,25.44,26.32,63.74,21.05
4.jpg,30.99,60.23,8.48,0,14.04,13.45,42.98,22.51,66.08,25.44,46.78,53.51,21.35,21.64,22.51,30.41,28.07,29.53,32.46,24.56,33.92,51.46,40.35,22.51,53.22,22.22,21.05,47.37,48.54,26.32,31.29,62.28,57.6,27.78,56.14,57.02,23.39,23.1,60.53,18.42
5.jpg,35.09,60.23,17.25,14.04,0,8.77,38.3,20.18,66.67,26.02,44.44,55.26,21.93,22.22,24.27,29.82,25.15,29.53,31.87,24.56,33.92,50.29,39.18,20.18,49.71,19.88,21.05,46.2,46.78,26.32,32.46,63.45,59.36,28.36,56.14,57.6,24.56,23.1,61.11,21.93
6.jpg,35.67,60.82,17.25,13.45,8.77,0,39.47,22.51,67.25,26.02,44.44,55.26,21.35,22.22,21.93,30.99,25.73,30.12,33.04,25.15,30.41,51.46,40.94,20.76,52.63,21.64,21.05,47.37,48.54,26.32,30.7,62.87,56.43,28.36,52.05,57.02,22.22,23.1,60.53,21.93
7.jpg,62.87,88.01,45.61,42.98,38.3,39.47,0,42.69,95.03,53.22,71.64,84.8,50.29,51.17,52.05,58.77,56.43,57.89,60.23,52.34,61.7,79.82,68.13,48.54,78.65,46.49,49.42,76.32,76.9,55.26,61.4,91.81,87.72,56.73,84.5,85.96,52.92,52.05,88.3,50.88
8.jpg,36.55,61.7,21.64,22.51,20.18,22.51,42.69,0,65.2,27.49,52.92,60.82,28.65,29.53,30.99,35.38,34.21,36.84,35.09,26.61,37.13,53.51,44.74,27.49,56.43,24.85,26.02,54.68,55.26,33.04,38.6,65.5,63.74,31.58,61.7,64.33,31.29,29.82,64.33,26.32
9.jpg,69.59,96.49,66.37,66.08,66.67,67.25,95.03,65.2,0,50.58,75.44,89.18,65.2,65.5,65.2,71.93,73.1,73.98,73.39,67.84,78.95,94.74,84.8,65.79,96.49,67.25,68.42,97.08,94.15,66.08,66.37,99.71,48.25,64.04,100,94.44,65.5,65.2,99.12,63.45
10.jpg,29.53,52.34,25.73,25.44,26.02,26.02,53.22,27.49,50.58,0,31.29,59.06,26.9,27.78,28.65,33.63,33.04,35.09,33.92,25.44,35.38,54.68,42.98,26.32,57.02,27.78,28.36,57.02,54.09,29.53,34.5,64.91,60.23,26.32,61.7,54.97,29.53,29.24,63.74,24.56
11.jpg,49.71,74.85,47.66,46.78,44.44,44.44,71.64,52.92,75.44,31.29,0,80.99,48.25,49.71,50.58,54.97,54.39,56.43,57.02,49.12,58.48,76.02,66.08,47.08,77.78,48.54,47.37,78.36,75.44,50.88,54.68,89.77,83.92,48.25,82.46,78.07,48.54,50,88.01,48.25
12.jpg,61.7,86.84,53.22,53.51,55.26,55.26,84.8,60.82,89.18,59.06,80.99,0,41.52,38.3,40.35,55.85,55.26,57.31,57.31,51.75,62.87,77.49,73.98,54.97,85.67,54.68,51.17,79.24,76.9,50.58,53.8,86.55,76.61,56.73,84.5,82.46,51.17,47.37,85.96,49.12
13.jpg,28.95,54.09,22.81,21.35,21.93,21.35,50.29,28.65,65.2,26.9,48.25,41.52,0,6.73,8.19,23.68,20.76,21.05,26.32,18.42,27.78,44.15,39.47,20.47,52.34,20.18,17.25,44.15,41.81,17.84,23.98,54.97,50.88,21.64,49.42,49.12,17.84,18.71,54.39,15.79
14.jpg,31.58,56.73,23.1,21.64,22.22,22.22,51.17,29.53,65.5,27.78,49.71,38.3,6.73,0,5.56,23.39,21.64,20.18,28.95,21.05,30.41,47.37,40.35,21.35,53.22,22.22,20.47,46.78,44.44,18.13,26.02,55.26,48.83,24.27,52.05,50,16.96,18.42,56.43,15.5
15.jpg,33.04,58.19,22.81,22.51,24.27,21.93,52.05,30.99,65.2,28.65,50.58,40.35,8.19,5.56,0,24.85,23.1,21.64,30.41,22.51,31.87,48.83,41.23,22.22,54.09,23.68,21.93,48.83,45.91,19.59,23.98,56.14,46.78,25.73,53.51,51.46,16.67,20.47,56.14,16.96
16.jpg,35.67,60.82,28.95,30.41,29.82,30.99,58.77,35.38,71.93,33.63,54.97,55.85,23.68,23.39,24.85,0,8.19,14.91,35.38,25.73,36.84,51.46,47.95,28.95,59.06,30.41,25.15,53.8,50.88,30.41,33.04,63.45,63.45,32.46,60.23,61.7,30.41,29.53,63.45,27.78
17.jpg,34.5,59.65,28.95,28.07,25.15,25.73,56.43,34.21,73.1,33.04,54.39,55.26,20.76,21.64,23.1,8.19,0,13.74,32.46,23.98,33.92,50.29,45.61,26.61,57.31,27.49,23.39,50.88,47.95,27.49,30.12,60.53,60.53,29.53,57.31,58.77,28.07,26.61,60.53,25.44
18.jpg,38.89,64.04,30.41,29.53,29.53,30.12,57.89,36.84,73.98,35.09,56.43,57.31,21.05,20.18,21.64,14.91,13.74,0,36.26,28.36,37.72,54.68,47.08,28.07,59.94,29.53,27.78,54.68,51.75,30.12,32.75,63.16,62.57,31.58,59.36,60.82,28.95,28.65,62.57,26.9
19.jpeg,22.51,47.66,32.16,32.46,31.87,33.04,60.23,35.09,73.39,33.92,57.02,57.31,26.32,28.95,30.41,35.38,32.46,36.26,0,11.99,13.16,48.25,50,31.58,62.87,31.29,24.85,52.92,50,30.7,36.84,67.25,63.16,31.58,59.36,61.4,33.04,26.32,67.25,30.99
20.jpg,19.88,42.11,22.51,24.56,24.56,25.15,52.34,26.61,67.84,25.44,49.12,51.75,18.42,21.05,22.51,25.73,23.98,28.36,11.99,0,18.13,40.94,40.35,23.68,53.8,23.39,15.2,45.61,42.69,22.81,28.95,59.36,55.85,24.27,52.63,51.75,25.15,22.51,57.6,22.51
21.jpg,24.56,50.88,35.38,33.92,33.92,30.41,61.7,37.13,78.95,35.38,58.48,62.87,27.78,30.41,31.87,36.84,33.92,37.72,13.16,18.13,0,43.27,50.88,32.46,64.33,32.75,26.32,54.97,52.05,30.99,37.13,67.54,63.45,32.46,55.56,61.7,34.5,31.87,68.71,32.46
22.jpg,53.22,78.36,50.58,51.46,50.29,51.46,79.82,53.51,94.74,54.68,76.02,77.49,44.15,47.37,48.83,51.46,50.29,54.68,48.25,40.94,43.27,0,67.84,49.42,80.12,49.71,43.27,71.93,69.01,49.12,55.26,86.26,82.16,51.17,78.95,80.41,51.46,48.83,86.26,47.66
23.jpg,53.22,76.61,42.98,40.35,39.18,40.94,68.13,44.74,84.8,42.98,66.08,73.98,39.47,40.35,41.23,47.95,45.61,47.08,50,40.35,50.88,67.84,0,27.78,64.91,34.5,42.11,69.01,66.08,44.44,50.58,80.41,76.9,45.32,70.18,72.81,41.52,40.64,76.32,39.47
24.jpg,34.21,59.36,25.15,22.51,20.18,20.76,48.54,27.49,65.79,26.32,47.08,54.97,20.47,21.35,22.22,28.95,26.61,28.07,31.58,23.68,32.46,49.42,27.78,0,44.74,14.33,23.1,50,47.08,25.44,30.99,61.4,57.31,26.9,53.51,55.56,22.51,21.64,59.06,20.47
25.jpg,64.33,89.47,54.68,53.22,49.71,52.63,78.65,56.43,96.49,57.02,77.78,85.67,52.34,53.22,54.09,59.06,57.31,59.94,62.87,53.8,64.33,80.12,64.91,44.74,0,37.43,53.22,81.29,78.36,56.73,62.87,93.86,89.77,58.77,85.38,88.01,54.39,53.51,91.52,51.75
26.jpg,33.92,59.06,25.44,22.22,19.88,21.64,46.49,24.85,67.25,27.78,48.54,54.68,20.18,22.22,23.68,30.41,27.49,29.53,31.29,23.39,32.75,49.71,34.5,14.33,37.43,0,22.81,49.71,46.78,25.15,31.29,61.7,57.6,26.61,53.22,55.85,23.98,21.35,57.6,21.93
27.jpg,25.73,50.88,20.76,21.05,21.05,21.05,49.42,26.02,68.42,28.36,47.37,51.17,17.25,20.47,21.93,25.15,23.39,27.78,24.85,15.2,26.32,43.27,42.11,23.1,53.22,22.81,0,34.5,36.26,22.22,28.36,59.36,55.26,24.27,52.05,53.51,22.81,21.93,59.36,21.93
28.jpeg,56.14,81.29,49.42,47.37,46.2,47.37,76.32,54.68,97.08,57.02,78.36,79.24,44.15,46.78,48.83,53.8,50.88,54.68,52.92,45.61,54.97,71.93,69.01,50,81.29,49.71,34.5,0,60.82,49.71,54.68,85.09,80.99,51.17,78.95,80.41,51.46,48.83,86.26,49.42
29.jpg,53.22,78.36,50,48.54,46.78,48.54,76.9,55.26,94.15,54.09,75.44,76.9,41.81,44.44,45.91,50.88,47.95,51.75,50,42.69,52.05,69.01,66.08,47.08,78.36,46.78,36.26,60.82,0,46.78,50.58,81.58,76.9,48.25,76.02,77.49,48.54,45.91,83.33,46.49
30.jpg,25.73,52.63,27.19,26.32,26.32,26.32,55.26,33.04,66.08,29.53,50.88,50.58,17.84,18.13,19.59,30.41,27.49,30.12,30.7,22.81,30.99,49.12,44.44,25.44,56.73,25.15,22.22,49.71,46.78,0,16.08,42.4,40.64,11.4,47.37,44.15,17.54,21.93,50.58,20.18
31.jpg,31.29,58.19,31.58,31.29,32.46,30.7,61.4,38.6,66.37,34.5,54.68,53.8,23.98,26.02,23.98,33.04,30.12,32.75,36.84,28.95,37.13,55.26,50.58,30.99,62.87,31.29,28.36,54.68,50.58,16.08,0,44.44,38.01,17.54,52.92,48.54,23.68,29.82,50.88,27.49
32.jpeg,63.45,90.94,63.74,62.28,63.45,62.87,91.81,65.5,99.71,64.91,89.77,86.55,54.97,55.26,56.14,63.45,60.53,63.16,67.25,59.36,67.54,86.26,80.41,61.4,93.86,61.7,59.36,85.09,81.58,42.4,44.44,0,65.5,48.54,82.16,76.02,51.17,54.39,66.67,54.39
